id,message
10873,list the current price of microsoft shares
8491,where is the nearest smoke shop
4549,please start over.
5948,read my lists to me
1663,mute volume now
7001,start play fifa seventeen
9835,in delhi traffic level too high
2465,i need the time zone from london england instead of central time zone
687,resume the last kingdom for me
5919,what are my available lists
1551,please reduce the speaker volume
4821,start vacuum cleaner
3475,olly would you shut off.
5702,add grocery shopping to my to do list
8052,answer this mathematical question
10893,search events and meetups for central park west
4777,clean my house
7250,play the next recording
7905,how old is cher
10041,i need to set an alarm how many do i have set
9119,prepare the order as soon as possible
1240,take off my alarms
1078,see see for me the alarms that you have set tomorrow morning
6117,i want you to delete my shopping list from last month
4673,let's try what you said one more time again please.
10840,what is the birthday of hemingway
2169,hey turn on your reminders for tomorrow's meeting at ten am
2274,whats needed to make pizza
5166,switch light to lowest level in dining area
7271,jump to next podcast
994,when i should leave to office
720,play my rap playlist
1111,show me the list of alarms
7671,give me the definition of school
10111,increase the volume to max please
3885,"s1, will you please further explain me about what you said."
9134,whats up with my takeaway
9395,what is the timing of bagmati express
3635,i'd like you check and confirm that please.
7480,what is the exchange rate for pounds and u. s. d.
4723,my vacuum cleaner should start between ten to eleven am everyday
4225,i think this is not correct command.
5131,color change of lights
9814,what is the traffic like this morning
2967,is this the correct area code for my boss
5309,control lights turn off room lights
2073,remove my event at one pm in my calendar
4316,ah that's awesome work.
1746,increase volume by two levels
7561,if i have a dablune how many dollars is that
10274,send email to daddy i'll be going to the birthday party
489,dim the lights at the living room
2072,find dinner with mom on my calendar and delete it
6294,that song is my favorite
845,list me the stock of apple right now
3910,can you elaborate further on this to me please.
7059,open songs by prince
8746,send a tweet
11025,i need a train ticket to denver
9918,get today's weather report
578,tell me my lists
2202,remind me of meeting five minutes before time
6011,could you open my list app and check for groceries please
2688,add email to contacts
1048,how much traffic does atlanta georgia usually have
7683,explain photosynthesis
10200,can i get the time
4782,start house cleaning
5388,all lights has to be turned off during the day
9329,can you see if there any trains going to
4898,start up the coffee machine
10671,please tell me the name of this band
3788,"anything would be good with me, olly."
1975,cancel my event on june nineteenth
10708,resume play where i left off in book on audible
1425,set an alarm for five hundred and thirty
4589,please tell me it one more again.
11000,could you please confirm if paradise does takeaway
2430,i need you to convert nine am cst to est time
932,did anyone get engaged or give birth among my online friends
411,can you please tell me who are you
3624,would you please check and confirm it.
6107,remove the sms recipient which have initials s
5885,can you read me my lists
1426,put alarm at five am
8784,tweet a complaint to old navy website
10448,i need to hear again.
3344,yeap it was correct.
7519,exchange rate between dollar and mexican peso
10304,"that is all, just cancel."
14,can you tell me what alarms i have set
6024,all food items with the prefix dry should be taken away from the list
3320,wonderful response to command.
1724,up the volume the sound is too low
7137,open my amazon music app and play my playlist
9540,can you call a taxi
3077,send mom an email now
7833,how is iron made
10003,should i take my raincoat with me now
5561,turn off bedroom fan
187,add dan's email
10505,make the bedroom lights red and the hall lights normal color please
3336,you understood command perfectly.
9302,tell me today's direction
8104,amazon stock price
3925,"s2, i didn't catch up with you."
2799,are there any new emails from robert jones
10397,i am sorry but you have messed up with my request.
5141,switch to night light setting
6520,shuffle the songs in the music library
2494,could you please tell me what time is in singapore
3692,i do not really mind for anything.
6165,delete butterfly clips from my wish list
9140,does the nearby pizza hut deliver in my area
2096,delete my appointment tomorrow
6506,shazam this music
3748,"don't bother, olly."
7342,i need you to find a good channels to listen to
2837,jane doe
8971,order two hamburgers for me
3282,exact.
4956,set the coffee maker to on
9177,is fongs dine in only
6394,what song is playing on windows media player
1436,alarm five pm tuesday
9795,what does the traffic look like headed to la
2246,take note of today as my first date with bob
9113,when is my takeaway going to get here
138,activate a one week notification before my anniversary please
3097,mahaboobsayyad@gmail dot com
3725,that is of no importance for me.
7598,convert one dollars to rupees
3782,"have no idea for which to select, olly."
8819,what time is bina going live with her sale on facebook
9774,latest news on traffic at my current location
3828,it was not clear.
5678,enable smart socket
1109,what alarms do i have set
4840,please make me a coffee using the coffee machine
2196,add valia's wedding the next saturday at eight o clock
10107,turn volume up to highest level
4248,"that was helpful,."
5149,make my lights green
6366,identify song
10581,wemo plug socket on
625,the song you are playing is amazing
3886,could you clarify further on what you said now to me please.
8191,what apple trading at
9381,what is the estimated travel time for the train ride to orlando
6274,save my opinion on the currently playing song
8721,open twitter type my complaint and post to @consumer service
5215,is it ok to lower the lights
7341,play radio
7162,play the song get happy by ella fitzgeral
1314,cancel alarm for tenth of march two thousand seventeen
7045,play my most played songs
293,please will you check it.
402,anything i need to know
3342,yes right.
7720,look up word
10558,brighten the light of hall
4334,"good work, you have done well, olly."
60,mute speaker
6264,save that song and my opinion
6392,what is the current song called
2981,please check and tell me contact details of mongomery llc company
1404,add a five am alarm in place of my nine pm alarm
10633,delete the list brads appointments
4546,say the last one said again please.
8826,tell me my friends most recent update
7242,please play next episode of bbc history podcast
3153,hey email jan about our meeting
10895,find events in local area
5210,adjust the lights to a lower setting please
5726,please update list with new item
4678,could you tell me it once again.
2724,have i gotten any emails from mom lately
3613,i like you confirm last thing said please.
6258,i find rap music really enjoyable
10934,what movies are playing in columbia
10184,how do i make tuna casserole from scratch
1785,increase volume by one
3315,you've gotten my instructions exactly.
9341,show me today train time of kalka at jodhpur
6633,google search the topic
7195,can you play the next podcast
4972,let me get a cup of coffee please
6943,video games
2862,show all emails regarding the breach
8079,how expensive is google stock
9262,directions to sainsburys
4930,make some coffee
5419,turn the lights on
10706,play sam harris audiobook
2870,do i have any new emails in my inbox today
5976,what's on my todo list
7537,is the pound up or down against the dollar
4810,enable cleaner robot
7426,channel seventy two point five
7139,play my favorite music
797,please tell me the definition of home
8485,i need a good shop
8222,what is the price of amd on the stock market
34,set a timer at five am seven days a week
4758,begin vacuuming
7967,divide seventy six in two parts
10920,where can i go shopping here
8664,tweet bad day at starbucks
2514,how time is it
7778,describe the empire state building
5117,lights at percent
7514,how much is a g. b. p. in u. s. d.
7731,please describe a car
9607,can you book me a train ticket to bombay for tomorrow in any train
8566,can you tell me what movie has the best reviews
5155,dim the lights in the kitchen
8229,whats the current price of mcdonalds stock
10071,set an alarm for one pm
3469,can you just cancel please.
6844,play the jungle book
9351,check time of kalka train from jodhpur station on monday
4450,i would like to crack jokes
7221,play the most current episode of levin
6160,delete this from list
10171,crockpot recipe for chicken alfredo
8247,what baseball games are scheduled for this week in tulsa
2754,please check if i got any emails from mom
5057,switch to red colored lights
8923,whats online
7118,hi google play me playlist wacky in my gaana application
6865,can you play monopoly with me
704,can we play a game of hangman
452,please make coffee at seven am
6090,clear the list
10930,can you tell me what movies are playing at the movies tonight
1920,what's going on between three hundred and thirty and four
7472,play the radio for me
9825,what is the traffic situation at the bazaar highway
2506,what time is it in central time zone
4019,do you have a funny joke for me
4436,i would like to solve maths issues
8022,what's thirteen plus fourteen
2141,remind me if i miss my evening walk routine
6778,start audiobook again
4488,tell me your answer
9689,buy train tickets from delhi to mumbai for twenty third march
1062,is summer going on
10753,play something random from google play
7058,queue up ymca
4661,will you replay what you have said please.
5061,please change color of light to pinkish
10826,describe what a sphere is
7813,where is the hottest desert located
4293,you've done that right thank you very much.
4489,are you human
4624,please will you try again.
413,have you come across any new recipes
4298,"i appreciate it, that's great job."
1963,please clear jeff's birthday from the calendar
7762,can you define this word
10918,i want to know what supermarket near me has the best price on gluten free bread
2128,set a reminder for john's birthday next week
4827,power up the vacuum
7951,what is the linear equation
4183,seems like the response was not correct.
9427,i need a ride home
4577,please would you reset.
1107,do i have any alarms set for tomorrow
789,what's the definition of diverse
3506,please check last thing i said.
10907,where is a petrol station in five mile radius
10880,please tell me what is the stock price of dew in ny market
6220,i like this song that is playing
6976,can you find animal crossing
130,repeat reminder for my schedule for christmas
6649,entertainment news
6055,delete shopping list
4813,switch on the roomba
8153,what is apple's current stock price
9820,please give me the road forecast for i95 sb
2518,time and date of today
6132,i need you to remove item s from my list
5512,increase light intensity
1576,please mute the volume control
7431,ally please play pandora radio
1144,today how many alarms do i have set
2621,show me the current time
6426,do i have any music by lady antebellum
425,would you tell me once again.
10049,i need to delete the alarm for church on sundays at eleven am
3924,"s1, explain more on your response."
8948,show me chinese food near me
6796,play audiobook of jacob
3780,that doesn't really matter.
9839,is traffic heavy on route eighty today
5822,add car service to my list of things to do today
3560,confirm the last thing said please.
8958,how about some pizza tonight can you please order a pepperoni large
1068,what is the temperature today
9348,fix the driving route from here to grant market
239,send email to new email address
6078,can you remove remove buying eggs item from my to do list
3593,could you please check and confirm the detail.
7202,podcast next episode
2187,add meet with dave at subway on weber on four april at five pm
6000,what lists available
4799,on the button of cleaner
6634,can the latest news be pulled up on the latest weather forecast for the week
984,please let me know the time of train northern rail
4467,has it been a busy day
422,retry please.
8314,list events in ny
9990,is it going to rain on monday
6783,list me the audiobooks i have already listened to
4901,i want coffee from the machine
9917,what is the current weather conditions in chicago illinois
8638,send a tweet to tmobile for rude employees
6512,please go to settings of the music player and make the equalizer in the flat sound mode
9848,any traffic issues today
9415,call a taxi for me
2784,did dan send me any emails
8496,where is the closest bar
8808,check my social networks
6674,did the yankees win last night
8974,place a takeaway order for a cheeseburger and fries from burger king
1669,please do not respond
4712,turn on vacuum
1301,stop seven am alarm
6714,resume pride and prejudice
5623,will you please turn off the smart plug
1402,alarm set
6689,please share up to the minute details on sprint
2039,clear off the vet appointment tomorrow
4583,can you reset.
3145,start email
9672,book a train ticket from here to charleston west virginia at eight am today
950,hey order a pizza pie with extra cheese
6332,what artist is singing that song
7253,play stuff you should know
5460,increase the brightness of lights bedroom
6150,delete my to do list
10280,open a reply message
1680,stop the audio
8890,has anyone commented on my status
2749,update my inbox please
7052,play me some melody song
4268,"you are awesome, i appreciate it."
5909,read the list
6334,what's on the radio right now
5853,please create a list of due payment those who not received more then ten months
1833,what is on the agenda for the four pm meeting with joe
5247,attenuate the lights
8357,what is happening near me
1868,when the meeting start
10398,"nope, i didn't say this."
4825,vacuum on
305,would you please confirm the instruction.
10186,what should i make for dinner
4684,please could you tell me that comment said once again.
395,"it's great one, thank you very much."
6622,access latest news
7501,what is the exchange rate of euro today to dirham
8167,google stock symbol
5351,turn off the light
640,list of playback of ar rahman collections
3518,would you please confirm that.
481,change lights to blue
2603,what is today's day
7642,tell me what the word organism means
9817,tell me the traffic condition from here to home
8548,show me theatre where pirates of caribbean is playing
5365,please turn off kitchen light for me
5656,turn on the socket
1742,speak louder please
4089,sorry but that is not the right answer.
182,could you tell me what time it is
8418,find me the oldest hotel in washington dc
6052,get rid of the wednesday list
3180,i need to add a new email to my contacts
1983,delete appointment at time
10916,find me the cheapest place to buy a new backpack
8587,movies with good rotten tomato ratings
7908,is the largest ocean in the world the pacific
1231,what's my next alarm
998,train leaving
6133,remove a list of accessories purchase last week
1502,down the volume
4717,turn on the vacuum cleaner while i am gone
4126,this is not the correct answer.
10026,am i gonna need rain boots
10042,let me know the alarm time
226,is this my sisters cellphone number
5554,brighten light
2463,time difference between uk and us
4001,open some cools jokes
11065,book my train ticket from las vegas to los angeles
7727,what is rock sand
10215,new york time
3492,olly that is all.
641,what music is this
1673,can you please be muted for a while
10286,excellent response to the command.
635,i want to know what song has the phrase stairway to heaven in it
7495,u. s. d. to yen
4447,show me what i can do with fitness
5582,shut off the socket
11040,book me a taxi to the mall of america please
7282,play the podcast named ringcast
245,go to email and send message to
2734,read new messages from my wife
3858,"s1, can you rephrase me more on the last sentence please."
990,get route for los angles from here
3747,"this is unimportant with me, olly."
4343,"that's useful, appreciated, olly."
7658,show meaning of clarion
4688,let's try again please.
1334,set new alarm on five am
8571,what movie theatres are in stephenville
9736,is traffic heavy
11041,what's the closest taxi to me
9186,does chinese deliver
8452,what are the best italian restaurants in los angeles
3841,"s2, i can not catch up with you."
6489,turn on repeat
1935,show me my reminders
10320,check the command.
1958,cancel my meeting tomorrow
3476,olly that's all.
613,add song to running list
1912,is mary's birthday party tonight
10538,shut off the lights in the bedroom
5841,please add list of things to buy for party
5756,add paper towels to the grocery list
579,how many items are on my list
3891,i am not so clear about that.
463,can you get me a cup of coffee
7940,when's mark lanegan's next album out
10181,how many eggs should i put in my cake mixture
10062,please set the alarm for seven
4470,please tell me who is going to win the nba championship
9462,book ola for airport today evening
6323,tell me what is song is playing now
6088,please remove a list
11080,how long will it take to drive to long beach
4327,you've done it right thanks.
5412,please turn the lights on
1238,kickball is over i do not need the alarm for kickball on wednesday evening any longer
1969,remove the fundraiser for dolphines in april
9220,does this restaurant deliver
9237,where is my pizza from domino's at
6960,let's play you'll be the keeper and never change position
1114,what are the next three alarms set to go off
8138,have bing's stocks dropped
10129,when will the match start
2032,change the plan of meeting
5277,cut off the bathroom lights
5583,turn off the wemo plug
3567,can you please check my last question.
520,please turn on all lights
6510,turn shuffle on music player on
3467,please would you shut up.
5273,please turn lights off
10221,add lowes hardware to my contact emails located in cleveland ohio
667,what's the latest news from xinhua
9013,when i get home can you please order a pizza
9238,can i pick up my large order at pizza hut
3938,"s1, please explain further on your words to me."
10077,repeat alarm
9743,how is the traffic in florida
8970,i am in need of some pizza what's the closest place that delivers
1164,let me know about any alarms set today
3181,send an email to my mum that i will visit her next weekend
4745,initialize the robot vacuum
7734,give me the specs on the bugatti veyron
666,find new trump articles but not from fox news
8289,can you tell me what kind of show can i go tonight in miami
9653,i need to leave on the five pm train to rockville
7295,play newest reason podcast
3579,will you please check and confirm the last thing i said.
7960,what is five minus one
1602,help me to mute my speaker
3609,confirm detail please.
5562,turn off my wifi
8893,please give me the latest feed updates
2080,i will no longer be joining mom for lunch tomorrow
4674,i need to hear that sentence again.
2307,how many cups of sugar in texas sheet cake frosting
9596,book me a train ride
4071,tell a joke that puts smile on my face
8738,send tweet via message to cardinal cafe and tell them their customer service is outstanding
2112,set rotating event
9248,is mr pizza on skip the dishes
3360,i'd like you just stop.
9865,how was the traffic now
8353,show me events in sacramento
4171,you had me incorrectly.
4878,make my coffee
5780,i need to put together a todo list for work
6560,what does the analysts say about the new immigration policies
8340,any local activities you can recommend in my area
10336,could you please check what said.
9788,traffic congestion issues
2163,calendar event send invite bill malinda
9496,book an uber from my location to the theatre
1717,louder volume please
7949,when was justin bieber born
290,would you confirm the question.
8700,please tweet the following complaint
3972,elaborate me further on your answer please.
10313,olly i want you cancel it.
4310,"excellent job, you have done well."
10669,who wrote this song
10040,what alarms do i have scheduled for tomorrow
7112,play country music
2925,fetch me the phone number of alexander
10472,robot do the whole house now
9145,call the restaurant to see if the delivery is on the way
9601,please purchase me a train ticket to atlanta
3817,wouldn't really care.
1116,is the alarm to the backdoor set and ready to go
8648,have a moan at easyjet
2216,put working out on my calendar for eight am every day this week
3823,would you once again clarify me about your response please.
4290,"you are my hero, appreciated."
6412,what music do i usually listen to
7351,i want to hear program one on lastfm
1547,lower the volume please
10483,i want coffee everyday
2989,call mom
8665,post this on my facebook
5873,what is my grocery list
9324,give me train times from station to location
8989,call domino's pizza
4048,tell me some joke
3695,"that is of no importance, olly."
2988,is bills cell phone number in my contacts
4110,thanks but i think you have messed up my request.
2047,please remove this event from my calendar
4993,please make the lights watching friendly
2424,please change time zone to india
1245,remove my work alarm
805,what does a grapefruit look like
1730,please increase the volume to maximum
8930,my facebook update in every three hour should be available
6009,what lists are open
4190,thanks but it's not the correct command.
6509,play only particular singer songs
5760,add a movie name to the wish list
10678,shuffle music by aaron carter
3170,send happy new year to john@gmail dot com
6583,what's happening on bbc news today
2308,show me cooking websites
8122,how much has hp stock gone up
4202,i think it's not the correct answer.
1566,mute volume
9537,call a taxi to pick me up right now
4431,tell me everything about umf
10910,what's the best clothes store here
6963,let's play nine ball against me adapt with my skill level always let me win
7621,please let me know the exchange rate between indian rupees and us
6581,what is the news about terrorist attack in afghanistan
1,alarm settings
7215,start my favourite podcast
87,do i have any notifications from social media
2423,switch to eastern time zone
8553,training day
6114,clear this list
9522,call me an uber for right now
89,tell me the meetings i have for the week
1146,what is tomorrow's alarm time set to
2477,what's the time difference between here and queensland
6799,base on my audiobook collection get me recommendation related audio book i should listen get and play me the resume
9609,look for train tickets to edinburgh tomorrow
8230,send me the stock market updates for today
3148,reply email
8264,please search for events in my location
11048,ticket for new york
1645,be quiet
759,please play some songs for kids
5776,please add deodorant to my shopping list
3944,what did you mean by saying it.
7306,play episode ten in the podcast
236,reply the email of charles with just thank you right now
213,check emails
5300,i need you to turn off the light of my bed room
5844,add new item to list
9833,is there traffic
10975,i want to order some pizza
354,do you know what a joke is
2860,would you go check my emails for me
1646,mute yourself until five pm
5239,dim the lights in the bathroom
10905,which teams are playing this weekend
8245,what are all the event in area
184,august fifteenth is what day of the week
1280,set off this alarm
689,i want to finish listening to the book one thousand nine hundred and eighty four from where i left off
5328,turn off the kitchen lights
5010,please change the color of my lights surprise me
3018,what is the email address for tessa
1860,what events are scheduled for me to do today
11089,weather this week
2926,what is jimmy johns's corporate number
4630,could you speak it one more again please.
5593,please turn off the wemo plug
3474,olly please just stop.
5648,turn on the wemo plug socket to plug in my dongle
10318,cancel.
5567,turn the plug off
2747,compile information on the data breach
5229,turn the lights down to seven
2164,add dentist appointment for friday at five
9881,weather forecast for this week
1959,hey olly make sure my calendar is completely clear tomorrow
1376,set an alarm for seven am
2902,can i find out information about a contact
7955,what is ten divided by five
6832,please open audible app and resume play
1795,do i have a meeting on saturday march twenty fifth
2661,store my contacts
6859,play the latest games
10381,i would like a joke
570,make a catalogue
816,how old is emma watson newest boyfriend
4855,time mr coffee for six am
7806,birth date for movie star keanu reeves
3095,send this email to reply to the latest emails
2918,show me derek's contact information
7868,how old is christie brinkley
4153,sorry but it is incorrect.
1318,delete my eight pm alarm
9669,book a train ticket from washington dc to savannah georgia
1857,give me the reminders
1433,set alarm on twenty fifth may at five pm
496,i want the room to be less bright
1483,remind me at six thirty pm
5259,please turn off all the lights outdoor
8440,markets near by
3303,yeap you've done that right.
2774,is there any new email
5306,turn off the room lights
8606,what is the nearest theatre that plays the new vin diesel movie
9533,set up a taxi for eleven am tomorrow
9661,book me a train for the next available train
1758,could you speak more softly
9594,book a train ticket to city leeds
3818,"do not really mind for whatever, olly."
10947,send a tweet about sonys volume issues
194,add work email address
10353,"this does not matter to me, olly."
3470,olly please could you shut up.
6770,start chapter seven of alma
10047,would like to know the alarm you sent
3322,yeah you've understood my instructions perfectly.
2241,please tell me to take my umbrella because it will be very hot today
6374,who sang the song that is currently playing
4067,what's the latest joke
6296,i enjoy listening to this song it really calms me down
9627,please book a ticket form jaipur to mumbai on tuesday
11097,weather this week
3703,i have no idea for which to select.
1060,will the temperature be higher than forty tomorrow
10953,tweet for me the complaint about drainage work
7934,how old is betty white
939,did anyone message me on facebook
7429,can you find the the preacher joe show on gospel radio
4839,make us a brew
2549,what day is the fifteenth
10364,could you please once again elaborate to me.
1836,my events
4955,please make some coffee for me
8672,tweet kohls about the cleanliness of their store
9578,please book train ticket to new york
1650,turn down the noise
7170,skip this podcast
2122,set a reminder for my shopping trip tomorrow at five pm
8689,write a tweet to burger king expressing my disapproval
7042,get sia's cheap thrills ready to play next
10245,show johns office number
2590,is today march sixth
3926,rephrase me about what you've said further please.
7205,i want to hear yesterday's podcast from my favorite channel
6590,get latest news report on kidnapping in ny
45,set an alarm for this eight hundred pm this evening
6551,what's happening today
4598,please speak that one more again.
1324,remove my alarm for tomorrow morning
2976,do i have any missed call from patrick
8504,where can i go shopping in this area
7624,what is the us dollar and euro exchange rate
6541,is there any new environmental news
2104,i am no longer attending the wedding on the tenth so remove it from my calendar
7800,how many sides are on a pentagon
1241,cancel my seven am alarm
6020,please delete the last song that played from the playlist
9924,what is the temperature
3022,give me charles telephone number
11038,i am in need of a taxi right now
3346,yes it was perfect.
3269,yeah you did it exactly.
5940,show me my lists
9284,how long does it take to get there
2418,how long do i need to cook a brisket for it to be medium
1608,mute the sound
6654,what are the results of the election
10319,would you shut up.
691,can you play my favorite audio book of tarzan
6593,what is new
698,play tennis for me
4949,how do i set the timer on my coffee machine
4049,show me a funny joke
4311,"that's nice one, thanks."
7638,what does a sea lion look like
4811,make vacuum cleaner start
6262,i love anything by elton john
4307,"that's nice job, thank you so much."
3413,can you shut off please.
3731,"i have no idea, olly."
3179,send an email to adele
1955,erase next calendar event
8797,may i know what is trending in twitter
11031,get me a ride to hospital
4040,hey do you know any jokes
8408,tell me where i can go shopping in this area
6039,erase previous list
8920,what's new on my facebook account
7529,given me the exchange rates between u. s. d. and inr
6749,hold
9125,how long until my takeaway
4315,"that's cool,, olly."
6346,who's current music's author
5550,please increase the light of table lamp
7405,play the radio station one hundred and one point nine
5441,it's awfully dark here
7191,start podcast mlb daily
8018,what does two plus two equal
9554,request an uber now
3328,yeap right response.
